Title,Price,Location,Area,BHK,Description
"4 BHK Independent House for Sale in  Attibele, Bangalore",₹ 1.65 Cr,"Attibele, Bangalore",Carpet Area 2250 sqft Status Ready to Move Transaction Resale Furnishing Unfurnished facing North Ownership Freehold Bathroom 4 Balcony 2,4 BHK,"Looking for an independent house for sale? Check out this magnificent 4 BHK house that is strategically located in Attibele in Bangalore.This lavish house in Celebrity Pride Access township is sure to meet your living standards, and offers a luxurious lifestyle to you and your family. The independent house is smartly planned and faces north. Inclusive of all the modern and essential facilities is a lavish house available for resale in Attibele. Available at a selling price of ₹1.65 Cr, this ready to move individual villa / house is an ideal dwelling for you. Read more"
"3 BHK Independent House for Sale in  Kanakapura Road, Bangalore",₹ 4.05 Cr,"Kanakapura Road, Bangalore",Super Area 3068 sqft Status Ready to Move Transaction Resale Furnishing Semi-Furnished Bathroom 3,3 BHK,"Looking for an independent house for sale? Check out this magnificent 3 BHK house that is strategically located in Kanakapura Road in Bangalore.This spacious and premium house in Svamitva Terravana may just be the perfect house for you. This dazzling house is available for resale in Kanakapura Road. Grab the chance to make this house your new address. This ready to move house with all modern amenities is priced at ₹4.05 Cr. This is a RERA approved project and PRM/KA/RERA/1270/305/PR/201106/003693 is the RERA number. In Svamitva Terravana, property prices range from ₹3.18 Cr - ₹4.38 Cr, with multiple configurations across villa. Read more"
"9 BHK Independent House for Sale in  Mahalakshmi Layout, Bangalore",₹ 6.45 Cr,"Mahalakshmi Layout, Bangalore",Carpet Area 6000 sqft Status Ready to Move Transaction Resale Furnishing Furnished facing North Ownership Freehold Bathroom 6 Balcony 4,9 BHK,"Interested to buy an independent house in Bangalore? Check out this 9 BHK house for sale in Mahalakshmi Layout. This beautiful home faces north. Situated in Mahalakshmi Layout, this ready to move house is offered at a selling price of ₹6.45 Cr. Find this 9 BHK house at Mahalakshmi Layout, Bangalore - Central, Karnataka. The house comes equipped with power back up, reserved parking. Read more"
"3 BHK Independent House for Sale in  Totadaguddadahalli, Bangalore",₹ 50 Lac,"Totadaguddadahalli, Bangalore",Carpet Area 1200 sqft Status Ready to Move Floor Ground out of 2 Transaction Resale Furnishing Semi-Furnished facing East Bathroom 3,3 BHK,"A 2 storeyed Residential House is located in Totadaguddadahalli, Bangalore. Great investment for family purpose as the space is airy and has friendly neighbourhood. Major key facilities are located nearby. This may be a perfect choice for home buying from House for Sale in Bangalore. Read more"
"4 BHK Independent House for Sale in  Haralur Main Road, Bangalore",₹ 3.50 Cr,"Haralur Main Road, Bangalore","Super Area 2675 sqft Status Ready to Move Transaction Resale Furnishing Semi-Furnished facing East overlooking Garden/Park, Main Road Ownership Freehold Dimensions 40 X 60 ft Sqft Bathroom 4 Balcony 2",4 BHK,"Have a look at 4 BHK, an independent house available for sale at an excellent location in Haralur Main Road in Bangalore.Enjoy a house lifestyle at Citrus Springville, an all-new house project by one of the renowned builders. This house is Vastu compliant and is thoughtfully situated facing east. This dazzling house is available for resale in Haralur Main Road. Grab the chance to make this house your new address. Available at a selling price of ₹3.50 Cr, this ready to move individual house is an ideal dwelling for you. The pricing in Citrus Springville varies from ₹1.58 Cr - ₹1.95 Cr, offering units in villa / house configurations. Read more"
"3 BHK Independent House for Sale in  Harlur, Bangalore",₹ 6.10 Cr,"Harlur, Bangalore","Carpet Area 2600 sqft Status Ready to Move Transaction Resale Furnishing Semi-Furnished facing East overlooking Garden/Park, Pool Ownership Freehold Dimensions 30 X 60 ft Sqft Car Parking 1 Covered Bathroom 3 Balcony 2",3 BHK,"Looking for an independent house for sale? Check out this magnificent 3 BHK house that is strategically located in Harlur in Bangalore.Part of the Essem18 Alaya project, this lovely house is sure to be the perfect home for you and your family. This independent house is thoughtfully situated facing east. This lovely independent house is up for resale with all lavish facilities and is located in Harlur. This ready to move individual house is available to you at the price of ₹6.10 Cr. This is a RERA approved project and PRM/KA/RERA/1251/446/PR/171019/001142 is the RERA number. Properties in Essem18 Alaya are available in villa, priced between ₹5.67 Cr - ₹6.60 Cr. Read more"
"3 BHK Independent House for Sale in  Horamavu, Bangalore",₹ 6 Cr,"Horamavu, Bangalore",Carpet Area 1920 sqft Status Ready to Move Transaction Resale Furnishing Unfurnished facing West Ownership Freehold Car Parking 2 Covered Bathroom 3 Balcony 2,3 BHK,"Check out this one of its kind 3 BHK independent house for sale at your preferred location of Horamavu in Bangalore.Part of the Prestige Augusta Golf Village project, this lovely house is sure to be the perfect home for you and your family. This independent house is thoughtfully situated facing west. This grand house in Horamavu is available for immediate resale. This ready to move house with all modern amenities is priced at ₹6 Cr. Properties in Prestige Augusta Golf Village are priced between ₹5.40 Cr - ₹12 Cr, available in villa / house options. Read more"
"4 BHK Independent House for Sale in  Budigere Cross, Bangalore",₹ 2.49 Cr,"Budigere Cross, Bangalore","Super Area 2930 sqft Status Ready to Move Transaction New Property Furnishing Unfurnished facing East overlooking Garden/Park, Main Road Ownership Freehold Dimensions 30 X 40 ft Sqft Car Parking 2 Covered Bathroom 4 Balcony 2",4 BHK,
"4 BHK Independent House for Sale in  Sarjapur Road, Bangalore",₹ 10 Cr,"Sarjapur Road, Bangalore","Carpet Area 2800 sqft Status Ready to Move Transaction Resale Furnishing Semi-Furnished facing North - West overlooking Garden/Park, Main Road Ownership Freehold Bathroom 4 Balcony 3",4 BHK,"This one of its kind 4 BHK independent house for sale is situated in the prime location of Sarjapur Road in Bangalore.Part of Vaishnavi Commune township, this lavish house treats the residents with a modern lifestyle. This house is Vastu compliant and is thoughtfully situated facing north - west. Available for resale this house in Sarjapur Road is worth every penny. This ready to move individual house can now be yours for selling price of ₹10 Cr. In Vaishnavi Commune, property prices range from ₹4.17 Cr - ₹4.85 Cr, with multiple configurations across villa. Read more"
"4 BHK Independent House for Sale in  Harlur, Bangalore",₹ 8.60 Cr,"Harlur, Bangalore",Super Area 3000 sqft Status Ready to Move Transaction Resale Furnishing Semi-Furnished facing East Dimensions 79.92 X 52.65 ft Sqft Bathroom 5 Balcony 3,4 BHK,"North Facing Door in Gated Community  with multiple amenities good connectivity to ORR and HSR location Featuring classy interiors and appealing exterior elevation, a 4 BHK independent house is up for sale in Harlur in Bangalore.Part of Sjr Eastwood township, this lavish house treats the residents with a modern lifestyle. The independent house is smartly planned and faces east. Situated in Harlur, this charming house is for immediate resale. This ready to move property is readily available at price of ₹8.60 Cr. The pricing in Sjr Eastwood varies from ₹1.54 Cr - ₹1.96 Cr, offering units in villa / house configurations. Read more"
